alpha;dimension;component;dv-err
1,00E-04;1;1;69,4
1,00E-04;1;2;71,566667
1,00E-04;1;5;75,25
1,00E-04;1;10;78,366667
1,00E-04;1;20;78,033333
1,00E-04;1;50;75,916667
1,00E-04;1;100;76,166667
1,00E-04;2;1;55,033333
1,00E-04;2;2;59,4
1,00E-04;2;5;60,383333
1,00E-04;2;10;61,2
1,00E-04;2;20;62,65
1,00E-04;2;50;63,916667
1,00E-04;2;100;64,25
1,00E-04;5;1;28,333333
1,00E-04;5;2;27,733333
1,00E-04;5;5;28,683333
1,00E-04;5;10;29,55
1,00E-04;5;20;32,083333
1,00E-04;5;50;31,383333
1,00E-04;5;100;31
1,00E-04;10;1;11,816667
1,00E-04;10;2;10,55
1,00E-04;10;5;9,783333
1,00E-04;10;10;9,133333
1,00E-04;10;20;8,916667
1,00E-04;10;50;7,783333
1,00E-04;10;100;7,666667
1,00E-04;20;1;6,166667
1,00E-04;20;2;5,35
1,00E-04;20;5;4,35
1,00E-04;20;10;4,183333
1,00E-04;20;20;3,616667
1,00E-04;20;50;3,216667
1,00E-04;20;100;2,516667
1,00E-04;50;1;4,683333
1,00E-04;50;2;3,8
1,00E-04;50;5;3,1
1,00E-04;50;10;2,6
1,00E-04;50;20;2,333333
1,00E-04;50;50;1,833333
1,00E-04;50;100;1,666667
1,00E-04;100;1;4,267
1,00E-04;100;2;3,583
1,00E-04;100;5;2,967
1,00E-04;100;10;2,517
1,00E-04;100;20;2,15
1,00E-04;100;50;1,6
1,00E-04;100;100;1,85
