alpha;dimension;component;dv-err
1,0e-03;1,0;1,0;69,383333
1,0e-03;1,0;2,0;73,633333
1,0e-03;1,0;5,0;74,666667
1,0e-03;1,0;10,0;76,05
1,0e-03;1,0;20,0;77,133333
1,0e-03;1,0;50,0;76,85
1,0e-03;1,0;100,0;76,25
1,0e-03;2,0;1,0;55,516667
1,0e-03;2,0;2,0;60,266667
1,0e-03;2,0;5,0;60,916667
1,0e-03;2,0;10,0;63,466667
1,0e-03;2,0;20,0;67,183333
1,0e-03;2,0;50,0;69,3
1,0e-03;2,0;100,0;67,683333
1,0e-03;5,0;1,0;28,533333
1,0e-03;5,0;2,0;28,083333
1,0e-03;5,0;5,0;30,483333
1,0e-03;5,0;10,0;31,25
1,0e-03;5,0;20,0;33,55
1,0e-03;5,0;50,0;36,2
1,0e-03;5,0;100,0;36,5
1,0e-03;10,0;1,0;12,266667
1,0e-03;10,0;2,0;11,816667
1,0e-03;10,0;5,0;10,566667
1,0e-03;10,0;10,0;10,2
1,0e-03;10,0;20,0;10,933333
1,0e-03;10,0;50,0;9,316667
1,0e-03;10,0;100,0;9,9
1,0e-03;20,0;1,0;6,7
1,0e-03;20,0;2,0;6,1
1,0e-03;20,0;5,0;5,25
1,0e-03;20,0;10,0;4,416667
1,0e-03;20,0;20,0;4,366667
1,0e-03;20,0;50,0;4,183333
1,0e-03;20,0;100,0;3,966667
1,0e-03;50,0;1,0;5,683333
1,0e-03;50,0;2,0;5,266667
1,0e-03;50,0;5,0;4,533333
1,0e-03;50,0;10,0;3,3
1,0e-03;50,0;20,0;3,35
1,0e-03;50,0;50,0;2,9
1,0e-03;50,0;100,0;3,383333
1,0e-03;100,0;1,0;5,617
1,0e-03;100,0;2,0;5,283
1,0e-03;100,0;5,0;4,283
1,0e-03;100,0;10,0;3,367
1,0e-03;100,0;20,0;3,433
1,0e-03;100,0;50,0;3,517
1,0e-03;100,0;100,0;3,383
