Thresholds;1;2;3;4;5
levenshtein;0.00396;0.00769;0.01113;0.01395;0.01878
intermediate;0.00796;0.01677;0.02667;0.0326;0.0444
restricted;0.0067;0.01368;0.02128;0.02677;0.03596
trielevenshtein;0.01339;0.01358;0.01359;0.01499;0.01805
