Thresholds;1;2;3;4;5
levenshtein;0.03253;0.06155;0.09277;0.11211;0.13828
intermediate;0.0685;0.13105;0.23969;0.27344;0.34844
restricted;0.06001;0.11029;0.17563;0.24688;0.275
trielevenshtein;0.11836;0.1125;0.10208;0.1013;0.10208
