Thresholds;1;2;3;4;5
levenshtein;0.04063;0.08255;0.11641;0.15;0.17188
intermediate;0.06625;0.15;0.2375;0.31406;0.37188
restricted;0.05609;0.11797;0.18906;0.25469;0.29531
trielevenshtein;0.13672;0.13047;0.13359;0.13047;0.12891
