Thresholds;1;2;3;4;5
levenshtein;0.00637;0.0124;0.02332;0.025;0.02833
intermediate;0.01291;0.02661;0.04635;0.05677;0.06797
restricted;0.01037;0.02511;0.0375;0.04505;0.05534
trielevenshtein;0.02591;0.02725;0.02721;0.02508;0.02547
