Thresholds;1;2;3;4;5
levenshtein;0.0003;0.00056;0.0008;0.00095;0.00094
intermediate;0.00058;0.00123;0.00166;0.00214;0.00216
restricted;0.00049;0.00099;0.00136;0.00181;0.00168
trielevenshtein;0.00086;0.00086;0.00087;0.00095;0.00096
