Thresholds;1;2;3;4;5
levenshtein;0.01362;0.02922;0.05143;0.06016;0.08099
intermediate;0.02801;0.0625;0.12344;0.18281;0.17969
restricted;0.02411;0.05039;0.10495;0.125;0.15937
trielevenshtein;0.05964;0.0599;0.06771;0.06172;0.0612
