Thresholds;1;2;3;4;5
levenshtein;0.00943;0.02283;0.03147;0.03707;0.04408
intermediate;0.02262;0.04505;0.0661;0.09199;0.11302
restricted;0.02096;0.04197;0.05745;0.07531;0.08086
trielevenshtein;0.04688;0.0444;0.04401;0.04258;0.0401
