Thresholds;1;2;3;4;5
levenshtein;0.00247;0.00379;0.00599;0.00677;0.00691
intermediate;0.00456;0.00876;0.01365;0.0151;0.01646
restricted;0.00447;0.0072;0.0111;0.01369;0.01279
trielevenshtein;0.00693;0.0062;0.00645;0.0068;0.00639
