Thresholds;1;2;3;4;5
levenshtein;0.06403;0.12461;0.19375;0.26719;0.31875
intermediate;0.0959;0.22161;0.38594;0.54219;0.66719
restricted;0.08168;0.18802;0.30859;0.43281;0.52969
trielevenshtein;0.24844;0.25312;0.24844;0.25;0.25156
