Thresholds;1;2;3;4;5
levenshtein;0.0825;0.15937;0.25625;0.36094;0.47656
intermediate;0.12917;0.29375;0.51406;0.76875;1.05156
restricted;0.10964;0.24531;0.4125;0.60781;0.81875
trielevenshtein;0.42344;0.42344;0.42344;0.42656;0.4375
