alpha;dimension;component;dv-err
1.0e-05;1.0;1.0;69.55
1.0e-05;1.0;2.0;72.1
1.0e-05;1.0;5.0;74.9
1.0e-05;1.0;10.0;77.2
1.0e-05;1.0;20.0;78.466667
1.0e-05;1.0;50.0;76.066667
1.0e-05;1.0;100.0;75.816667
1.0e-05;2.0;1.0;55.483333
1.0e-05;2.0;2.0;57.05
1.0e-05;2.0;5.0;58.466667
1.0e-05;2.0;10.0;60.9
1.0e-05;2.0;20.0;62.816667
1.0e-05;2.0;50.0;64.05
1.0e-05;2.0;100.0;62.75
1.0e-05;5.0;1.0;29.883333
1.0e-05;5.0;2.0;29.266667
1.0e-05;5.0;5.0;28.166667
1.0e-05;5.0;10.0;29.133333
1.0e-05;5.0;20.0;29.133333
1.0e-05;5.0;50.0;29.383333
1.0e-05;5.0;100.0;29.466667
1.0e-05;10.0;1.0;14.933333
1.0e-05;10.0;2.0;13.366667
1.0e-05;10.0;5.0;11.516667
1.0e-05;10.0;10.0;10.816667
1.0e-05;10.0;20.0;9.966667
1.0e-05;10.0;50.0;9.133333
1.0e-05;10.0;100.0;8.583333
1.0e-05;20.0;1.0;8.483333
1.0e-05;20.0;2.0;7.366667
1.0e-05;20.0;5.0;5.533333
1.0e-05;20.0;10.0;5.433333
1.0e-05;20.0;20.0;4.916667
1.0e-05;20.0;50.0;4.183333
1.0e-05;20.0;100.0;3.533333
1.0e-05;50.0;1.0;6.566667
1.0e-05;50.0;2.0;5.683333
1.0e-05;50.0;5.0;4.616667
1.0e-05;50.0;10.0;3.916667
1.0e-05;50.0;20.0;3.516667
1.0e-05;50.0;50.0;2.45
1.0e-05;50.0;100.0;2.500
1.0e-05;100.0;1.0;6.467
1.0e-05;100.0;2.0;5.400
1.0e-05;100.0;5.0;4.400
1.0e-05;100.0;10.0;3.767
1.0e-05;100.0;20.0;3.183
1.0e-05;100.0;50.0;2.233
1.0e-05;100.0;100.0;2.333
