iteration	evaluations	runtime[s]	Cuenta_de_+[MAX]	Valor_objetivo-MIN[MIN]
82	2050	0.145	3	18
82	2050	0.145	2	0
83	2075	0.146	5	98
83	2075	0.146	3	18
83	2075	0.146	2	0
84	2100	0.147	5	98
84	2100	0.147	3	18
84	2100	0.147	2	0
85	2125	0.148	5	98
85	2125	0.148	3	18
85	2125	0.148	2	0
86	2150	0.149	5	98
86	2150	0.149	3	18
86	2150	0.149	2	0
87	2175	0.15	5	98
87	2175	0.15	3	18
87	2175	0.15	2	0
88	2200	0.151	5	98
88	2200	0.151	3	18
88	2200	0.151	2	0
89	2225	0.152	5	98
89	2225	0.152	3	18
89	2225	0.152	2	0
90	2250	0.153	5	98
90	2250	0.153	3	18
90	2250	0.153	2	0
91	2275	0.154	5	98
91	2275	0.154	3	18
91	2275	0.154	2	0
92	2300	0.157	5	98
92	2300	0.157	3	18
92	2300	0.157	2	0
93	2325	0.159	5	98
93	2325	0.159	3	18
93	2325	0.159	2	0
94	2350	0.162	5	98
94	2350	0.162	3	18
94	2350	0.162	2	0
95	2375	0.166	5	98
95	2375	0.166	3	18
95	2375	0.166	2	0
96	2400	0.168	5	98
96	2400	0.168	3	18
96	2400	0.168	2	0
97	2425	0.171	5	98
97	2425	0.171	3	18
97	2425	0.171	2	0
98	2450	0.172	5	98
98	2450	0.172	3	18
98	2450	0.172	2	0
99	2475	0.174	5	98
99	2475	0.174	3	18
99	2475	0.174	2	0
100	2500	0.176	5	98
100	2500	0.176	3	18
100	2500	0.176	2	0
101	2525	0.177	5	98
101	2525	0.177	3	18
101	2525	0.177	2	0
102	2550	0.178	5	98
102	2550	0.178	3	18
102	2550	0.178	2	0
103	2575	0.179	5	98
103	2575	0.179	3	18
103	2575	0.179	2	0
104	2600	0.181	5	98
104	2600	0.181	3	18
104	2600	0.181	2	0
105	2625	0.182	5	98
105	2625	0.182	3	18
105	2625	0.182	2	0
106	2650	0.185	5	98
106	2650	0.185	3	18
106	2650	0.185	2	0
107	2675	0.188	5	98
107	2675	0.188	3	18
107	2675	0.188	2	0
108	2700	0.191	5	98
108	2700	0.191	3	18
108	2700	0.191	2	0
109	2725	0.193	5	98
109	2725	0.193	3	18
109	2725	0.193	2	0
110	2750	0.194	5	98
110	2750	0.194	3	18
110	2750	0.194	2	0
111	2775	0.196	5	98
111	2775	0.196	3	18
111	2775	0.196	2	0
112	2800	0.197	5	98
112	2800	0.197	3	18
112	2800	0.197	2	0
113	2825	0.198	5	98
113	2825	0.198	3	18
113	2825	0.198	2	0
114	2850	0.199	5	98
114	2850	0.199	3	18
114	2850	0.199	2	0
115	2875	0.199	5	98
115	2875	0.199	3	18
115	2875	0.199	2	0
116	2900	0.201	5	98
116	2900	0.201	3	18
116	2900	0.201	2	0
117	2925	0.201	5	98
117	2925	0.201	3	18
117	2925	0.201	2	0
118	2950	0.202	5	98
118	2950	0.202	3	18
118	2950	0.202	2	0
119	2975	0.204	5	98
119	2975	0.204	3	18
119	2975	0.204	2	0
120	3000	0.205	5	98
120	3000	0.205	3	18
120	3000	0.205	2	0
121	3025	0.206	5	98
121	3025	0.206	3	18
121	3025	0.206	2	0
122	3050	0.207	5	98
122	3050	0.207	3	18
122	3050	0.207	2	0
123	3075	0.208	5	98
123	3075	0.208	3	18
123	3075	0.208	2	0
124	3100	0.208	5	98
124	3100	0.208	3	18
124	3100	0.208	2	0
125	3125	0.21	5	98
125	3125	0.21	3	18
125	3125	0.21	2	0
126	3150	0.21	5	98
126	3150	0.21	3	18
126	3150	0.21	2	0
127	3175	0.211	5	98
